ResponseId,UserLanguage,Q2_1,Q2_2,Q3,Q4,Q15,Q16,Q17,Q18,Q18_4_TEXT,Q19,Q19_4_TEXT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_11_TEXT,Q20,Q7,Q7_10_TEXT,Q12,Q13,Q14,Q21
R_1lzenC9icXbQhdK,EN,San Antonio,Hidden Meadow,,1st Grade,3-4 years,Hispanic/Latino,"Black of African American,White",Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,"$100,000 - $149,999",5,4,3,10,2,9,7,1,8,6,11,,I love how IDEA is academically focused. ,"Strong academic performance of students,Relationship with teachers/staff",,Safety #1 and teachers,NA,Great school and motivating,NA
R_eCLqSOqezJmhmKd,EN,El Paso,Rio Vista,,3rd Grade,Less than 1 year,Hispanic/Latino,White,Single family in the home,,Myself,,"Less than $25,000",1,2,3,4,5,6,7,8,9,10,11,,,Commitment to school safety and security,,,,,
R_1mJJP5NsbMbizEY,EN,Rio Grande Valley,San Benito,,1st Grade,1-2 years,Hispanic/Latino,White,Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,"$75,000 - $99,999",,,,,,,,,,,,,Collage acceptance rate,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Social emotional learning and growth,Commitment to school safety and security",,Evening is great,,Yes! Do it,
R_1LGO0xLCTN028FK,EN,Rio Grande Valley,North Mission,,"Kinder,2nd Grade",3-4 years,Hispanic/Latino,White,Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,,10,2,11,3,1,6,8,4,5,7,9,,,,,,,,
R_1QgaUTHrSSWNDxk,EN,Rio Grande Valley,Alamo,,2nd Grade,3-4 years,Hispanic/Latino,White,Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,"$150,000 - $199,999",3,2,1,5,7,9,6,10,8,4,11,,,Other (Please specify),Will not be attending next school year,Needs a police officer on campus ,,,
R_AgsvBID1Bl6yJCF,EN,Rio Grande Valley,Weslaco Pike,,Pre-K,1-2 years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",9,7,3,6,4,5,8,2,1,10,11,,,Commitment to school safety and security,,,,,
R_3DdAx6AiBaaqPz0,EN,San Antonio,Judson,,1st Grade,1-2 years,Non Hispanic or Latino,White,Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,"$100,000 - $149,999",9,4,1,2,3,7,8,5,6,10,11,,Disliked other schools in district. Close to home.,"Strong academic performance of students,Social emotional learning and growth,Convenient location/Proximity to home or work",,,,,
R_OOOKl9tvKCC5yDf,EN,El Paso,Horizon Vista,,1st Grade,3-4 years,Hispanic/Latino,White,Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,"$100,000 - $149,999",,,,,,,,,,,,,Awesome school,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Extracurricular opportunities for students,Social emotional learning and growth,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,They already meet expectations ,It’s a great school,Great school,Very kind teachers 
R_yDARS2fd0FeydJT,ES-ES,Rio Grande Valley,Riverview,,3rd Grade,5+ years,Hispanic/Latino,,Single family in the home,,Myself,,"Less than $25,000",1,2,3,4,5,6,10,8,7,9,11,,El nivel académico ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,Commitment to school safety and security",,Más información ,,Que es la mejor opción ,No
R_12lFGYKkEk4EOQK,EN,San Antonio,Judson,,Kinder,Less than 1 year,Non Hispanic or Latino,Black of African American,Single family in the home,,Myself,,"Less than $25,000",,,,,,,,,,,,,Heard good things about the school ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Extracurricular opportunities for students,Social emotional learning and growth,Convenient location/Proximity to home or work,Commitment to school safety and security",,,,Do it the best decision i have ever made with any school. They actually care and are very good with the students ,
R_2SJ5QgGjASvXPCt,EN,San Antonio,Judson,,"9th Grade,10th Grade,12th Grade",5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",9,5,2,4,6,10,8,1,3,7,11,,I wanted a smaller school environment for my children,"Strong academic performance of students,Commitment to college readiness,Convenient location/Proximity to home or work",,,,,
R_1i5wLYE6DUt4eDK,EN,San Antonio,Mays,,9th Grade,Less than 1 year,,Asian,Single family in the home,,My spouse or student's other parent/guardian/step-parent,,"$25,000 - $49,999",6,1,2,4,7,10,8,3,5,9,11,,,Commitment to college readiness,,,,,.
R_24vNzfYpiqvg4za,EN,Rio Grande Valley,Robindale,,Kinder,Less than 1 year,Non Hispanic or Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",1,2,3,4,6,9,7,5,8,10,11,,Quality education to lead to success in further education ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students",,Communication ,,I would recommend ,
R_umqQHDZnzIXJjpv,EN,San Antonio,Burke,,Kinder,1-2 years,Hispanic/Latino,,Single family in the home,,My spouse or student's other parent/guardian/step-parent,,"$75,000 - $99,999",8,3,6,4,2,10,7,1,5,9,11,,The curriculum and safety ,"Strong academic performance of students,Individualized learning experience for students,High-quality teaching staff,Social emotional learning and growth,Relationship with teachers/staff,Commitment to school safety and security",,,,Do it. Don’t second think it. It will be the best decision for you and especially your scholar. ,
R_2rqPU72BommsS3Q,ES-ES,Rio Grande Valley,San Benito,,"5th Grade,7th Grade",5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",1,4,5,7,3,6,8,9,10,2,11,,100% universidad,"Strong academic performance of students,Commitment to college readiness,Convenient location/Proximity to home or work,Commitment to school safety and security",,Actividades fisicas para menores,,Es la mejor opción ,No
R_31cjgoMpW5EVbTB,EN,Rio Grande Valley,Frontier,,Pre-K,Less than 1 year,Hispanic/Latino,White,Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,"$75,000 - $99,999",8,6,3,4,5,9,10,1,2,7,11,,Reputation of excellence,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Relationship with teachers/staff,Commitment to school safety and security",,Already doing a great job,,Commitment to excellence,
R_3NyocWM5By12gUx,EN,Rio Grande Valley,Palmview,,Kinder,Less than 1 year,Non Hispanic or Latino,White,Single family in the home,,Myself,,"Less than $25,000",5,3,6,7,8,10,9,1,2,4,11,,Its record for college acceptance,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,Convenient location/Proximity to home or work,Commitment to school safety and security",,,,It is a good school,No
R_3ExSXtKrewhAJN8,EN,Rio Grande Valley,Weslaco,,Kinder,Less than 1 year,Hispanic/Latino,White,Single family in the home,,Myself,,"Less than $25,000",4,6,3,5,7,8,9,1,2,10,11,,The focus on education ,Strong academic performance of students,,Communication of safety,,Think about it,
R_ritnFYmc2yiSmel,EN,San Antonio,Hidden Meadow,,"Kinder,3rd Grade",Less than 1 year,Hispanic/Latino,White,Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,"$200,000 or more",6,1,2,4,3,10,9,8,7,5,11,,,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Social emotional learning and growth,Relationship with teachers/staff,Commitment to school safety and security",,,,,
R_1jIg1X2fbSUSHpS,EN,,,,9th Grade,3-4 years,Hispanic/Latino,White,Single family in the home,,Myself,,"$50,000 - $74,999",1,3,2,7,6,8,4,10,9,5,11,,Great reviews and wors of mouth ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Social emotional learning and growth,Commitment to school safety and security",,Communication ,More review prior to state and federal testing ,Choose Idea for the best education and college readiness training for your child,
R_2sZwHnf1B9pgVlG,EN,El Paso,Edgemere,,1st Grade,1-2 years,Hispanic/Latino,,Single family in the home,,Myself,,"$150,000 - $199,999",1,2,3,4,5,6,7,8,9,10,11,,Small groups,Strong academic performance of students,,,,,
R_3fjJ5tNnM5Kc2io,EN,Rio Grande Valley,North Mission,,6th Grade,5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"$150,000 - $199,999",7,3,5,6,4,11,9,1,2,8,10,,Close to home,Convenient location/Proximity to home or work,,,,,
R_1F4wX8oo4DqZLyl,EN,San Antonio,Hidden Meadow,,"Kinder,1st Grade",3-4 years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",1,2,3,4,5,6,7,8,10,9,11,,Good reviews ,"Strong academic performance of students,Individualized learning experience for students,High-quality teaching staff,Relationship with teachers/staff,Commitment to school safety and security",,N/A,,"Its the best choice, the kids are able to learn really fast  ",
R_DO9QSL1XGjvSHoB,ES-ES,Rio Grande Valley,Brownsville,,Pre-K,Less than 1 year,Hispanic/Latino,American Indian or Alaska Native,Single family in the home,,Myself,,"$25,000 - $49,999",1,2,3,4,5,8,9,6,7,10,11,,Nivel de educación ,Strong academic performance of students,,Buena educación ,Con aprendizaje ,Buena escuela ,
R_2BaGvzmi9C21qeC,EN,El Paso,Mesquite Hills,Edgemere ,"Kinder,10th Grade",1-2 years,Non Hispanic or Latino,American Indian or Alaska Native,Live with another family or multiple families,,My spouse or student's other parent/guardian/step-parent,,"$75,000 - $99,999",4,5,1,6,2,3,7,8,9,10,11,,Locarion,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Extracurricular opportunities for students,Social emotional learning and growth,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,Nothing.  We have a great Experience with both schools,Everything good to go,Amazing school. Staff is always excited and happy to interact with parents and Scholars all the time ,Everything is good
R_Uhjb64xU8r82qcx,EN,San Antonio,Robinson,,Kinder,Less than 1 year,Hispanic/Latino,White,Single family in the home,,Myself,,"$50,000 - $74,999",8,4,3,7,5,6,11,1,2,9,10,,Safety ,"Relationship with teachers/staff,Commitment to school safety and security",,Academics is too rigorous for kinder aged children ,Let them be kids and have some fun. ,Don’t ,
R_2Sv2vdipeMMWbgc,EN,San Antonio,Hidden Meadow,,1st Grade,1-2 years,Hispanic/Latino,,Single family in the home,,Myself,,"$50,000 - $74,999",1,6,2,7,8,9,10,4,3,5,11,,I wanted a safe enviroment for my children,"Strong academic performance of students,Commitment to college readiness,High-quality teaching staff,Relationship with teachers/staff,Commitment to school safety and security",,,"More extracurricular activities, sports, cheerleading music, etc",Tthat idea has a great curriculum ,
R_RQ3bBhN2UUPJb2h,EN,El Paso,Mesquite Hills,,6th Grade,Less than 1 year,Hispanic/Latino,White,Single family in the home,,"Myself,The student",,"$25,000 - $49,999",10,3,4,7,8,6,5,1,2,9,11,,Heard nothing but positive things about IDEA and thought it would be a great opportunity for my child who struggles greatly in school ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Extracurricular opportunities for students,Social emotional learning and growth,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,Better communication with parents ,,"Do it, you will not regret it. ",
R_1psNutf0T2pgsjG,EN,San Antonio,Carver,,"1st Grade,8th Grade",5+ years,Non Hispanic or Latino,Black of African American,Single family in the home,,Myself,,"Less than $25,000",,,,,,,,,,,,,More hands on with the kids,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Extracurricular opportunities for students,Social emotional learning and growth,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,,,Go for it,
R_1IfNVTlyW8QLpKl,ES-ES,Rio Grande Valley,Riverview,,"3rd Grade,9th Grade",5+ years,Hispanic/Latino,,Single family in the home,,Myself,,"Less than $25,000",1,2,3,6,7,8,5,4,9,10,11,,Excelente educación y ayuda a que los estudiantes tengan lo indispensable académicamente ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Extracurricular opportunities for students,Social emotional learning and growth,Relationship with teachers/staff,Commitment to school safety and security",,Es satisfactorio ,,Que es la mejor opción para sus queruditos,Satisfactoria
R_1jpHZgEuiJAdDUW,EN,Rio Grande Valley,Weslaco Pike,,Kinder,1-2 years,Hispanic/Latino,White,,,,,,1,2,3,4,5,6,7,8,9,10,11,,Better education ,Strong academic performance of students,,Keep in touch with parents ,Stay on task,,
R_2WNndOH1SJA8dfy,ES-ES,Rio Grande Valley,Pharr,,7th Grade,Less than 1 year,Hispanic/Latino,White,Single family in the home,,Myself,,"Less than $25,000",3,5,7,9,2,4,8,6,1,10,11,,Mejor calificada ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Extracurricular opportunities for students,Social emotional learning and growth,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,,,Es una buena escuela ,Esta todo bien en lo que cabe 
R_3GAQrVw11S2NCkU,EN,Rio Grande Valley,Los Encinos,,2nd Grade,3-4 years,Hispanic/Latino,White,Single family in the home,,Myself,,"Less than $25,000",7,2,5,6,3,8,9,1,4,10,11,,,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,Social emotional learning and growth,Convenient location/Proximity to home or work,Commitment to school safety and security",,Have better communication ,Listen to them more ,Check the Reviews ,Some teachers are mean t students. They should choose nicer teachers that care about students. 
R_3G3ZEDtBj2iFyDH,EN,El Paso,Mesquite Hills,,Pre-K,Less than 1 year,Non Hispanic or Latino,"Asian,White",Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,"$50,000 - $74,999",10,4,5,3,1,7,9,2,6,8,11,,Pre-k near home,"Social emotional learning and growth,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,,,,
R_3iRzttA8g9fv72G,ES-ES,Rio Grande Valley,San Juan,,6th Grade,5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"Less than $25,000",2,3,4,5,1,6,7,9,11,10,8,,"Por que mis hijas graduaron de esa misma escuela y son unas grandes profesionales, y quiero que mi hijo sea igual ",Other (Please specify),,"Son muchas cosas , las cuales ya explicado en otras encuestas.",,/,"Dentro de lo que cabe en mis expectativas, la educación siempre es lo primordial "
R_1FCZO8ssce5Bo9E,EN,San Antonio,Converse,,Kinder,1-2 years,Hispanic/Latino,,Single family in the home,,My spouse or student's other parent/guardian/step-parent,,"$50,000 - $74,999",3,5,2,6,7,8,9,4,1,10,11,,Friend ,Strong academic performance of students,,Security ,More one on one,Very good school ,
R_1duhR2iU8caUjQk,EN,El Paso,Edgemere,,7th Grade,Less than 1 year,Non Hispanic or Latino,White,Single family in the home,,My spouse or student's other parent/guardian/step-parent,,"$75,000 - $99,999",10,1,5,7,8,3,2,6,4,9,11,,Close to the house,"Convenient location/Proximity to home or work,Other (Please specify)",Student enjoys it,Stop the projecting existential angst revolving around state testing from teachers to students,Add clubs. Band. Etc,,Add band
R_1rNfJPolppGRPmk,ES-ES,Rio Grande Valley,Mission,,"3rd Grade,10th Grade",5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"$50,000 - $74,999",1,5,7,9,2,10,4,6,8,3,11,,Me gusta el plan de estudios. Uniformes y que el bus me los deja en la esquina de casa,"Strong academic performance of students,Commitment to college readiness,Social emotional learning and growth",,Mas participación de padres,Lockers mas acrividades de socializar,Que la recomiendo ,Seguiremos en el camino
R_12KHzeLnCiYOZuE,EN,Rio Grande Valley,Elsa,,9th Grade,3-4 years,Hispanic/Latino,White,My student splits time between households/joint custody,,Myself,,"Less than $25,000",3,4,2,8,9,10,7,5,6,1,11,,The commitment ,Commitment to college readiness,,Parent teacher interaction ,Teacher student interaction ,Great curriculum ,Keep uniform a must
R_1dAbDy07iN7Fa5Z,EN,Rio Grande Valley,Rio Grande City,,Pre-K,1-2 years,Hispanic/Latino,White,Other (Please specify),,My spouse or student's other parent/guardian/step-parent,,"$25,000 - $49,999",9,5,7,3,4,6,8,1,2,10,11,,,,,,,,
R_qF78FqtrZH0VMxH,EN,San Antonio,Ewing Halsell,1,10th Grade,3-4 years,Hispanic/Latino,White,Single family in the home,,Myself,,,1,2,3,4,9,7,8,6,10,5,11,,Education ,"Strong academic performance of students,Individualized learning experience for students,Other (Please specify)",Need better parking n safety in school ,Parking improvements n safty,"Better parking and safety , protecting students ",Ok,Need build more room for high school students 
R_QneMtz4J8lKwDSh,EN,San Antonio,South Flores,,"7th Grade,11th Grade",5+ years,Hispanic/Latino,White,,,Myself,,"$25,000 - $49,999",1,2,3,5,6,7,4,8,9,10,11,,Es una ecxelente escuela ,"Strong academic performance of students,Commitment to college readiness",,Comunicación mas en español ,Apoyarlo más ,Nose,No
R_10CWuBEehvSLEEI,ES-ES,Rio Grande Valley,Edinburg,,9th Grade,5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"Less than $25,000",1,2,3,6,7,9,8,4,5,10,11,,unas de las mejoes escuelas,Strong academic performance of students,,todo bien organizado,,es la mejor escuela,no
R_SCASgpKabI9WuNH,EN,San Antonio,Burke,,Kinder,Less than 1 year,Hispanic/Latino,Black of African American,Single family in the home,,Myself,,"$50,000 - $74,999",8,6,2,4,5,9,10,1,3,7,11,,Entire school is gated ,"Strong academic performance of students,High-quality teaching staff,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,Security ,Zero tolerance for bullying ,The teachers are wonderful and they really teach ,
R_3IQQrnas2k14yFs,EN,San Antonio,Burke,,1st Grade,1-2 years,Non Hispanic or Latino,White,My student splits time between households/joint custody,,My spouse or student's other parent/guardian/step-parent,,"$25,000 - $49,999",1,2,3,4,5,6,7,8,9,10,11,,Better direction in education ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Extracurricular opportunities for students,Social emotional learning and growth,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,Keep both parents aware of students progress,Focused learning ,Be prepared for the fast pace of courses,Having both parents have the same amount of awareness of students progress
R_3I5AyP67XZyZfyh,ES-ES,Rio Grande Valley,Edinburg,,"9th Grade,11th Grade,12th Grade",3-4 years,Hispanic/Latino,,Single family in the home,,Myself,,"Less than $25,000",1,6,4,2,5,3,7,8,10,9,11,,Ayuda para ir a la universidad ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students",,Segur por el mismo camino ,Más deporte,Que es 💯 recomendado ,No
R_3OjNDIN8aPMl8fm,EN,Rio Grande Valley,San Benito,San Benito High School,"Kinder,10th Grade",1-2 years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",9,6,4,3,5,7,8,1,2,10,11,,Good Reputation ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Social emotional learning and growth,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,,,,
R_33DMl0cTGdl9zIM,ES-ES,Rio Grande Valley,San Juan,,"1st Grade,5th Grade",3-4 years,Hispanic/Latino,,Single family in the home,,Myself,,"$25,000 - $49,999",1,2,3,5,4,6,8,7,9,10,11,,El enfoque en la universidad ,"Commitment to college readiness,Individualized learning experience for students,Commitment to school safety and security",,Manteniendo siempre la comunicación de maestros a padres de familia para poder apoyar a nuestros hijos,Prestando atención a lo que está pasando en el salón de clase todo el tiempo y a lo que los estudiantes expresan ,En mi experiencia a sido una escuela que a ayudado mucho a los hijos y los motiva ,❤️
R_3O9zf89OAj6HdmE,EN,El Paso,Rio Vista,,Pre-K,Less than 1 year,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",8,1,3,7,2,10,4,5,6,9,11,,The pre-k curriculum! ,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Social emotional learning and growth,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,,Keeping the great pre-k curriculum going! ,To do it! Great teachers and children learn a lot more at IDEA than at other schools at least what I have seen during the pre-k year ,
R_2dFmMtat2LQSGTO,EN,Rio Grande Valley,Harlingen,,"6th Grade,7th Grade",1-2 years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",7,1,10,5,2,3,4,6,9,8,11,,To prepare children to be college ready ,Convenient location/Proximity to home or work,,"They need to better train their teachers to be able to communicate with these children. The communication is horrible in Harlingen. They worry more about the little things instead of us seeing the bigger picture with the children they pick up every little thing and call you for every little issue when things shouldn’t even be called for I hardly ever hear good things about my children I usually only get calls when they do the little with smallest things that I shouldn’t even be called for, you need to seriously better educate your teachers into handling the situation’s. I understand that children can be bad, but they need to be better trained on how to deal with things like this and not belittle the children. ",You need to have teachers with better attitude a lot of them aren’t trained and are very rude and have no patients. ,I would honestly recommend them not to go to Harlingen because I have friends that have their kids going to San Benito and they do not complain about things like this and I’ve talked to several parents that their children go to Harlingen IDEA and they had the same issue with staff being rude ,Have security to make children feel safe and I have not had a good experience. 
R_1f94UKCsbnccswP,EN,San Antonio,Carver,,7th Grade,Less than 1 year,Non Hispanic or Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",4,2,1,9,6,10,7,5,3,8,11,,,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Convenient location/Proximity to home or work,Relationship with teachers/staff,Commitment to school safety and security",,N/A,N/A,,
R_1Nbu1yXoh6Y48Fi,EN,Rio Grande Valley,Donna,,1st Grade,Less than 1 year,Hispanic/Latino,,Single family in the home,,"Myself,The student",,"Less than $25,000",,,,,,,,,,,,,"My sister kids love the school, I have a daughter in the rise class I feel calm for her I dnt trust the other schools. ","Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff,Social emotional learning and growth,Relationship with teachers/staff,Commitment to school safety and security",,More security ,No comment ,"My daughters are doing good, one started to read at kínder n the other is saying words since she’s delayed makes me proud of them. ",No comment 
R_2urdyiGKYjKk4vV,ES-ES,San Antonio,Brackenridge,,2nd Grade,3-4 years,Hispanic/Latino,White,Single family in the home,,Myself,,"Less than $25,000",2,1,3,4,5,6,7,8,9,10,11,,Me parece una escuela muy preparada para enseñar a nuestros estudiantes,"Strong academic performance of students,High-quality teaching staff,Convenient location/Proximity to home or work,Commitment to school safety and security",,Que sean poco mas estrictos en cuanto a tareas ,Mantener mas ocupados a los estudiantes,Que lo agan no se arepentiran ,
R_3nCLTrFmv0BwclY,ES-ES,Rio Grande Valley,Riverview,,2nd Grade,3-4 years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",1,2,3,5,4,6,7,8,9,10,11,,Que es buena escuela,"Strong academic performance of students,Commitment to college readiness,High-quality teaching staff",,Comunicacion entre maestro y padre de familia,Mas apoyo de los maestros a estudiantes,Que recomiendo la escuela ampliamente,Sigan adelante y abrir mas escuelas
R_3njgGWhXtbJhTZe,EN,San Antonio,Monterrey Park,,9th Grade,Less than 1 year,Hispanic/Latino,White,Single family in the home,,Myself,,"$75,000 - $99,999",1,2,3,10,9,8,6,4,5,7,11,,College prep,"Strong academic performance of students,Commitment to college readiness",,,,Depends on which one you go to....,
R_33vUUBYpNBihAnY,EN,Rio Grande Valley,Mission,,"1st Grade,9th Grade,12th Grade",5+ years,Hispanic/Latino,White,Single family in the home,,"Myself,My spouse or student's other parent/guardian/step-parent",,"$100,000 - $149,999",1,4,8,6,3,7,5,9,10,2,11,,The curriculum ,"Strong academic performance of students,Commitment to college readiness",,,,,
R_TuYTZbcb6GBaj61,EN,El Paso,Edgemere,,"Pre-K,2nd Grade",3-4 years,Hispanic/Latino,,Single family in the home,,"Myself,Other (Please specify)",And spouse,"$50,000 - $74,999",3,4,1,2,5,8,9,6,7,10,11,,I wanted to try something different ,"Strong academic performance of students,Commitment to college readiness",,Much better effort on extracurricular and events,More interaction with parents ,Might not recommend ,This year was a lot less effort on everything 
R_1pGcNPRSrTR4wPQ,EN,Rio Grande Valley,Elsa,,4th Grade,5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",9,2,1,5,6,7,8,3,4,10,11,,The reputation for high learning ,"Strong academic performance of students,Individualized learning experience for students,High-quality teaching staff,Relationship with teachers/staff,Commitment to school safety and security",,More sport options for elementary ,,Great choice,
R_yWwRZb5z2Gtgmtj,EN,Rio Grande Valley,Robindale,,7th Grade,1-2 years,Hispanic/Latino,,Single family in the home,,Myself,,"$25,000 - $49,999",2,1,6,7,3,5,8,4,10,11,9,,I thought she needed to have more kids her age involved in her life,"Strong academic performance of students,Commitment to college readiness,Social emotional learning and growth",,Needs smaller classrooms with children capasity,Children in middle school need a counselor present to speak with,,Needs more sport opportunities 
R_3PSPddxGprgaJ6J,EN,Rio Grande Valley,Weslaco Pike,,"3rd Grade,6th Grade,8th Grade",5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"$50,000 - $74,999",,,,,,,,,,,,,,"Strong academic performance of students,Commitment to college readiness,Individualized learning experience for students,High-quality teaching staff",,,,"It’s a great school and good environment, teachers are really involved because they care, not only because the pay check",
R_1djeGA2VZ1W0D9k,ES-ES,Rio Grande Valley,San Benito,,"1st Grade,4th Grade",5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"$25,000 - $49,999",1,2,4,6,5,7,3,8,9,10,11,,Supuestamente era buen aprendizaje de los estudiantes ,Individualized learning experience for students,,Resolviendo o tomando en serio las quejas que uno pone a los academicos,Quitando los malos maestros ,"Que no lo hagan, que busquen una mejor opción ",Es un campus al que no le importa si alguien interpone una queja
R_3HXEqolfkUteqtQ,EN,San Antonio,Ewing Halsell,,6th Grade,5+ years,Hispanic/Latino,White,Single family in the home,,Myself,,"$75,000 - $99,999",2,4,5,8,7,10,3,1,9,6,11,,College focus,"Commitment to college readiness,Convenient location/Proximity to home or work",,More challenging curriculum or keeping students engaged in class,Keep them engaged and challenged so they stay motivated ,Overall a good school ,
