ResponseId,UserLanguage,Q2_1,Q2_2,Q3,Q4,Q5,Q6_4,Q6_13,Q6_2,Q6_3,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_12_TEXT,Q7,Q7_8_TEXT,Q8,Q8_5_TEXT,Q9,Q9_10_TEXT,Q10,Q10_7_TEXT,Q11,Q12,Q13,Q14
R_tMqG5bKjUBULiGB,EN,Tampa,Victory,,Kinder,"$200,000 or more",7,1,2,11,6,8,5,4,10,12,9,3,Proximity ,Reputation for academic excellence/Track record of success,,"Developing a well-rounded skillset,Other (Please specify)","Smaller classrooms, proximity to home ","Diversity and inclusion,Curriculum and academic rigor,Other (Please specify)",Ongoing litigation ,Online search,,Yes,Moving ,N/A,
R_3PQUE6eiZV6U2xD,EN,Permian Basin,Yukon,,"Pre-k,3rd Grade","$100,000 - $149,999",2,4,7,5,8,6,9,11,10,3,1,12,,"Reputation for academic excellence/Track record of success,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Developing a well-rounded skillset,Developing strong character traits",,"Availability of transportation,Class sizes,Safety and security,Diversity and inclusion,Social Emotional Learning Programs",,Referral from friend or family member,,No,Lack of teachers,Hopefully more qualified teachers and individualized learning,
R_12yeoz4hAUoAb0r,EN,Austin,Kyle,,Kinder,"$150,000 - $199,999",1,3,4,5,6,7,8,10,11,9,2,12,,"Reputation for academic excellence/Track record of success,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Developing a well-rounded skillset,Developing strong character traits",,"Availability of transportation,Class sizes,Diversity and inclusion,Curriculum and academic rigor,Social Emotional Learning Programs",,"Online search,Referral from friend or family member",,Yes,Moved districts,,
R_3gRtNBEjxf6LWOx,EN,San Antonio,Walzem,,Kinder,"$25,000 - $49,999",1,2,3,5,11,7,8,10,9,4,6,12,,"The availability of extracurricular activities,Focus on whole child development,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Developing a well-rounded skillset,Developing strong character traits",,"Class sizes,Safety and security",,Referral from friend or family member,,Yes,,,
R_2EaWnXM6MlNLvss,EN,Tampa,Victory,,Kinder,"Less than $25,000",1,4,2,7,6,10,9,11,3,8,5,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Commitment to college preparation,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,Cost of attendance,,Online search,,No,My child’s entering kindergarten,But I give my daughter a different view on learning,
R_1HerHCPFMTX9rN6,EN,El Paso,Rio Vista,,2nd Grade,"Less than $25,000",1,2,6,10,11,9,3,4,7,8,5,12,,Commitment to college preparation,,Developing a well-rounded skillset,,"Availability of transportation,Bilingual Education Program,Career and Technical Education programs",,Social media,,No,,Making sure my daughter progresses and learns so much. For her to live her education,
R_2qCTt4tHN5wWd9y,EN,San Antonio,Converse,,Kinder,"$25,000 - $49,999",2,4,8,5,10,6,3,11,9,7,1,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Commitment to college preparation,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Pursuing a specific career of field,Developing strong character traits",,,,Referral from friend or family member,,Yes,,,
R_3qEf8zaTpUuGFyw,EN,El Paso,Mesquite Hills,,"3rd Grade,5th Grade","$75,000 - $99,999",1,2,3,4,5,6,7,8,9,10,11,12,,"Focus on whole child development,Family partnership approach,The availability of individualized learning opportunities",,"Developing a well-rounded skillset,Developing strong character traits",,,,"Online search,Referral from friend or family member",,No,To have more passionate teachers,,
R_2CCbnYSmUowWeAn,EN,Rio Grande Valley,Owassa,Mcallen ,1st Grade,"$75,000 - $99,999",1,4,5,6,2,8,9,10,7,11,3,12,,Reputation for academic excellence/Track record of success,,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,Availability of transportation,,Referral from friend or family member,,No,,,
R_cOQJjv2AWqAhp8R,EN,,,Palmview ,6th Grade,"$25,000 - $49,999",1,2,3,4,5,6,7,10,12,9,11,8,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Commitment to college preparation,The availability of individualized learning opportunities",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,"Availability of transportation,Class sizes,Safety and security,Career and Technical Education programs",,Other (Please specify),My daughter graduated from idea mission ,Yes,Better focus ,Better grades ,
R_2107uims2GNqSa0,EN,Rio Grande Valley,Pharr,,Kinder,"Less than $25,000",1,4,5,8,7,3,9,2,10,6,11,12,,"Reputation for academic excellence/Track record of success,Highly qualified and trained staff",,"Developing a well-rounded skillset,Developing strong character traits",,Availability of transportation,,Referral from friend or family member,,Yes,,,
R_UscHP6dcfXisOS5,EN,Austin,Montopolis,,"6th Grade,8th Grade","$25,000 - $49,999",1,2,3,5,4,6,8,7,9,10,11,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,"Cost of attendance,Safety and security,Diversity and inclusion,Curriculum and academic rigor,Bilingual Education Program,Career and Technical Education programs,Social Emotional Learning Programs",,Referral from friend or family member,,No,N/A,N/A,N/A
R_31pwhNNctfn5ONr,EN,,,,8th Grade,"Less than $25,000",2,3,1,4,7,6,8,5,9,10,11,12,,Highly qualified and trained staff,,Preparing for college,,,,Referral from friend or family member,,,,,
R_2zUs4KRT8Ah5y49,EN,Rio Grande Valley,Owassa,,Pre-k,"Less than $25,000",1,2,3,4,5,7,8,9,6,10,12,11,,Focus on whole child development,,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,Cost of attendance,,Referral from friend or family member,,No,Love ideas goals to better my childs learning ,Would love to see him be more bilingual ,Would love to see my child advance with all the extra curricular and his sister also attends this idea as well
R_2z6DIQyk3I3CBqM,EN,Rio Grande Valley,Harlingen,San Benito ,"1st Grade,8th Grade,11th Grade,12th Grade","$150,000 - $199,999",1,2,5,6,3,8,7,10,11,9,4,12,,,,Preparing for college,,"Availability of transportation,Diversity and inclusion,Other (Please specify)",I feel like IDEA focuses too much on inclusion that they are trying to take the place of the parents voice. ,Referral from friend or family member,,No,I have not been happy with how staff have treated my children and how IDEA is pushing inclusion on my kids. School should be school and parents should raise their kids.  ,,
R_1K26xCSeDjvt8QU,EN,Southern Louisiana,Innovation,,Kinder,"Less than $25,000",1,2,4,3,5,6,7,8,9,10,11,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,Cost of attendance,,Online search,,No,Relocation,Talented teachers,Na
R_3gOefChZlNr9sc9,EN,Rio Grande Valley,Edinburg,,"1st Grade,3rd Grade","$100,000 - $149,999",1,2,3,4,5,6,7,8,10,11,9,12,,Reputation for academic excellence/Track record of success,,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,,,Referral from friend or family member,,Yes,Teachers strategies ,Learning strategies and procedures,Looking forward to a great school year
R_3n8CH6vENwkXYaP,ES-ES,El Paso,Edgemere,,6th Grade,"$50,000 - $74,999",1,3,4,5,6,2,7,8,9,10,11,12,,Reputation for academic excellence/Track record of success,,Developing a well-rounded skillset,,Safety and security,,Referral from friend or family member,,Yes,Es una delas mejores escuelas,Que sean mas responsables hacia los alumnos,No
R_10oejYLrQb7Mtjy,EN,Greater Houston Area,Hardy,,8th Grade,"$25,000 - $49,999",1,2,3,8,5,9,4,7,6,10,11,12,,Highly qualified and trained staff,,Preparing for college,,Availability of transportation,,Referral from friend or family member,,Yes,Finding a safe environment ,Safety,Needing a stop
R_1kXiBGF6hi9chqJ,EN,Rio Grande Valley,Edinburg,,Kinder,"$100,000 - $149,999",7,2,10,9,11,3,6,8,1,4,5,12,,Reputation for academic excellence/Track record of success,,Developing a well-rounded skillset,,Diversity and inclusion,,Other (Please specify),Family ,,Family member ,N/a,
R_1MKFdkBCoYVpVFC,EN,El Paso,Mesquite Hills,,1st Grade,"$25,000 - $49,999",1,2,3,5,6,7,4,8,9,10,11,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Developing a well-rounded skillset,Developing strong character traits",,"Availability of transportation,Cost of attendance,Class sizes,Safety and security",,Billboard or other outdoor advertising,,No,Mejoria,Mas atencion,
R_3gZtaM21KyunThA,EN,Permian Basin,Yukon,,3rd Grade,"$25,000 - $49,999",3,2,10,5,7,6,9,11,8,4,1,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,Other (Please specify),,Referral from friend or family member,,No,You care more about the students well being and thoughts of all students and parents ,Better learning atmosphere,
R_3aajR8p4eoK0pEd,ES-ES,Rio Grande Valley,Pharr,,Kinder,"$25,000 - $49,999",2,7,5,8,9,4,10,3,11,6,1,12,,Reputation for academic excellence/Track record of success,,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,"Class sizes,Safety and security,Diversity and inclusion,Curriculum and academic rigor,Bilingual Education Program",,"Social media,Billboard or other outdoor advertising",,Yes,Mayor logro academico,Será su primer año,
R_262wDA2ZyZl7i5V,ES-ES,Tarrant County,Rise,,"Pre-k,Kinder","$25,000 - $49,999",1,2,3,5,6,4,8,7,9,10,11,12,,"The availability of extracurricular activities,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,"Availability of transportation,Cost of attendance,Class sizes,Safety and security,Curriculum and academic rigor,Bilingual Education Program,Social Emotional Learning Programs",,Social media,,No,,,
R_2SGHi2WBobwQzUv,ES-ES,Permian Basin,Yukon,,"3rd Grade,7th Grade","Less than $25,000",3,1,4,8,7,5,6,2,9,10,12,11,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field",,"Availability of transportation,Cost of attendance,Class sizes,Safety and security,Diversity and inclusion,Curriculum and academic rigor,Bilingual Education Program,Career and Technical Education programs,Social Emotional Learning Programs",,Referral from friend or family member,,Yes,Seguridad y educación ,Más disciplina y mejor desempeño académico ,
R_3qHSLifEVrvr94I,EN,Permian Basin,Yukon,,1st Grade,"$100,000 - $149,999",2,4,5,6,7,8,9,10,3,11,1,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Highly qualified and trained staff",,"Developing a well-rounded skillset,Developing strong character traits",,,,"Online search,Referral from friend or family member",,No,Education security ,Parent participation ,
R_3eymX898nGgM1lK,EN,San Antonio,Hidden Meadow,,Pre-k,"$50,000 - $74,999",3,1,8,7,9,5,6,11,4,10,2,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Commitment to college preparation,The availability of individualized learning opportunities",,"Developing a well-rounded skillset,Developing strong character traits",,,,Referral from friend or family member,,No,She is in a daycare that doesn’t have a set curriculum ,More structure ,
R_2XdLvs8ydMpQMTL,EN,Rio Grande Valley,Rio Grande City,,"Pre-k,1st Grade","$25,000 - $49,999",5,1,6,8,9,3,4,11,2,10,7,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities",,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,Other (Please specify),NA,"Referral from friend or family member,A Community Event",,No,I feel my daughter has not been as challenged as she can be due to having a pace that works for other kids who may struggle more,I have heard that she will be tested to be placed with other children around her level which could be a little more beneficial so I expect her to be challenged even more ,
R_1nMZVCWTyloB5PO,EN,Austin,Parmer Park,,Kinder,"$200,000 or more",1,2,3,4,6,7,8,5,9,10,11,12,,"Reputation for academic excellence/Track record of success,Commitment to college preparation,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,Cost of attendance,,Other (Please specify),Drive by it,Yes,Location,,
R_3HNbMzlwufcW6S8,ES-ES,Austin,Round Rock Tech,"Aryam, Efren  y Marylett Lucatero ","1st Grade,3rd Grade,5th Grade","$25,000 - $49,999",1,2,3,4,8,6,7,9,10,11,5,12,,"The availability of extracurricular activities,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,"Availability of transportation,Diversity and inclusion,Bilingual Education Program",,Referral from friend or family member,,Yes,,Mejorar su nivel de lectura,
R_21bSo6RQ754G1Qo,EN,Permian Basin,Yukon,,"2nd Grade,4th Grade,8th Grade","$75,000 - $99,999",7,1,8,3,5,4,2,6,9,10,11,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities",,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,,,Referral from friend or family member,,No,Smaller classes and individual Learning ,Individualized learning,
R_11bTVjy32ghVwqY,EN,Permian Basin,Yukon,,"6th Grade,9th Grade","$150,000 - $199,999",4,5,9,2,6,1,12,10,3,8,7,11,,Other (Please specify),Lack of other school options,Developing strong character traits,,"Availability of transportation,Diversity and inclusion,Social Emotional Learning Programs",,Online search,,Yes,Moving to Odessa,,
R_6J7PkxTkmwoUC2J,EN,Permian Basin,Yukon,,4th Grade,"$75,000 - $99,999",1,4,5,6,7,9,10,3,2,11,8,12,Near our house ,"Reputation for academic excellence/Track record of success,Focus on whole child development,Family partnership approach,The availability of individualized learning opportunities",,"Preparing for college,Pursuing a specific career of field,Developing strong character traits",,Bilingual Education Program,,Referral from friend or family member,,No,The good comments and we are near Idea school ,Lenguage ,
R_1KdSTRsmChG8Xdr,ES-ES,San Antonio,Walzem,None,6th Grade,"$25,000 - $49,999",2,1,3,4,5,6,7,8,9,10,11,12,,Commitment to college preparation,,Pursuing a specific career of field,,"Curriculum and academic rigor,Career and Technical Education programs",,Online search,,Yes,Preparacion academica,Usar Uniforme,
R_QiTtpwqxY0R2rOV,EN,San Antonio,Converse,,Pre-k,"$25,000 - $49,999",2,4,7,6,5,1,8,9,10,11,3,12,,"The availability of extracurricular activities,Focus on whole child development,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Developing a well-rounded skillset,Developing strong character traits",,"Class sizes,Diversity and inclusion",,Other (Please specify),ABA ,Yes,Referral from ABA,This is the first school and I hear they care about individuals learning ,
R_325dT0jCSuI9oF4,EN,Rio Grande Valley,Sports Park,,4th Grade,"$50,000 - $74,999",5,3,10,4,7,6,9,11,8,1,2,12,,Focus on whole child development,,Developing strong character traits,,"Class sizes,Safety and security,Social Emotional Learning Programs",,"Social media,Billboard or other outdoor advertising",,Yes,Lack of enthusiasm to attend school.,"Individualized learning, highlight qualities.",
R_XnBREgus2uaZaZr,EN,Permian Basin,Yukon,,Pre-k,"$75,000 - $99,999",3,2,10,9,6,5,8,7,11,4,1,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,Class sizes,,Online search,,No,wanting what’s best for my child and IDEA is what’s best for my child’s safety and education.,"safe school, great education system, great teachers/staff, and a wonderful environment.","the safety of the school, education, and teachers."
R_3rODhoHCGBDurxa,EN,San Antonio,Ewing Halsell,,Kinder,"$25,000 - $49,999",6,3,11,4,7,5,2,10,9,8,1,12,,"Reputation for academic excellence/Track record of success,Commitment to college preparation,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,"Availability of transportation,Cost of attendance,Social Emotional Learning Programs",,,,Yes,,,
R_2zAxMqKxpTI3AIs,EN,Permian Basin,Yukon,,Kinder,"$50,000 - $74,999",1,2,9,7,8,4,3,11,10,5,6,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,,,"Referral from friend or family member,Other (Please specify)",Referral from a parent of IDEA student,No,I have heard great things about IDEA,Great learning environment ,I would really love my child to attend IDEA. She is currently on the waitlist
R_2tJbLL8nOtAFJv4,EN,Rio Grande Valley,Quest,Idea tres Lagos ,Pre-k,"Less than $25,000",2,4,9,5,6,7,10,12,8,3,1,11,,"Focus on whole child development,Highly qualified and trained staff",,Developing strong character traits,,"Availability of transportation,Cost of attendance,Safety and security",,Referral from friend or family member,,Yes,Proximity ,Safety ,
R_22tpYcJyLu4qmmb,EN,San Antonio,Hidden Meadow,,Pre-k,"$25,000 - $49,999",1,2,3,5,7,4,8,10,9,11,6,12,,Reputation for academic excellence/Track record of success,,Developing strong character traits,,"Cost of attendance,Class sizes,Safety and security,Curriculum and academic rigor",,"Online search,Referral from friend or family member",,No,,,
R_1QgOoGYbsMl3GmV,EN,Rio Grande Valley,Palmview,,Pre-k,"Less than $25,000",5,6,8,10,9,4,3,1,12,7,2,11,,Other (Please specify),I attended to idea ,Developing strong character traits,,Social Emotional Learning Programs,,Other (Please specify),Personal,No,Attended to idea is ideal for me because they a secured school,,
R_Xk6MuE2nmOHqJpv,EN,El Paso,Rio Vista,"Horizon Vista, Edgemere","2nd Grade,4th Grade","Less than $25,000",2,1,5,3,10,9,8,4,11,6,7,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Developing a well-rounded skillset,Developing strong character traits",,"Availability of transportation,Cost of attendance",,Referral from friend or family member,,Yes,More individual development and one on one in classroom help,Not focused on state tests but the education of the students,N/a
R_2zT6NV3PAiwW6QU,EN,Austin,Pflugerville,,Kinder,"$75,000 - $99,999",1,2,7,3,8,4,6,9,10,5,11,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Family partnership approach,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,"Class sizes,Diversity and inclusion",,"Referral from friend or family member,Social media",,,,,
R_31bkGYyt0akpuEd,EN,Tarrant County,Edgecliff,,"Kinder,5th Grade,9th Grade","$50,000 - $74,999",1,2,4,8,5,9,3,6,10,11,7,12,,"Reputation for academic excellence/Track record of success,Commitment to college preparation,Family partnership approach",,Preparing for college,,,,Other (Please specify),I currently have 2 students already enrolled,Yes,1 is convenience since I already have 2 at this school it will be wonderful to drop them all off at one place. Secondly the committment to college. I know this is the way out of poverty and I want this for my kids.  ,I expect being able to communicate with teachers more frequently and I expect it to be more academically rigorous. ,The only thing I would suggest is offering some sort of creativity in classes like art or music. 
R_22M8ZoO0QcjP17D,EN,Tarrant County,Southeast,,8th Grade,"$25,000 - $49,999",3,4,9,10,7,6,8,11,5,2,1,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing strong character traits",,"Availability of transportation,Cost of attendance,Safety and security",,"Online search,Billboard or other outdoor advertising",,No,"Safety, bullying, low skilled/trained teachers/principals","Better security, enforcement of consequences for bad behavior, better trained teachers",
R_1E06xAiWC5TwvMu,ES-ES,Rio Grande Valley,Brownsville,,"1st Grade,4th Grade,7th Grade","Less than $25,000",2,1,3,4,5,6,8,11,7,10,9,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Highly qualified and trained staff",,Preparing for college,,"Availability of transportation,Safety and security,Bilingual Education Program,Social Emotional Learning Programs",,Referral from friend or family member,,Yes,,Que tenga mejor personal ,
R_2cit858vR97vBxG,EN,Tampa,Victory,,"1st Grade,7th Grade","$50,000 - $74,999",3,4,6,5,8,1,9,12,7,10,2,11,,"Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities",,"Developing a well-rounded skillset,Developing strong character traits",,"Career and Technical Education programs,Social Emotional Learning Programs",,Referral from friend or family member,,Yes,Returning students ,,
R_2YM2A8T7LFg6tb8,EN,Permian Basin,Yukon,,6th Grade,"$25,000 - $49,999",2,3,5,1,8,9,4,10,12,6,11,7,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Developing a well-rounded skillset,Developing strong character traits",,,,Referral from friend or family member,,No,Just need more help ,Have heard good learning skills ,Want my son to get where he needs to be . He is so behind on reading 
R_8tUx7z5gCkX7WWl,EN,El Paso,Edgemere,,Kinder,"Less than $25,000",1,3,2,4,7,8,5,9,6,10,11,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,Other (Please specify),None,Referral from friend or family member,,Yes,How please my friend is with the learning both her girls have received at you’re school,"Smaller class, reputation is amazing",We are excited to have Neveah enrolled with your school
R_3PU0DzgMJy1fRcd,EN,Rio Grande Valley,Elsa,,"2nd Grade,9th Grade",,1,2,3,4,5,6,7,8,9,10,11,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Commitment to college preparation,Family partnership approach",,Preparing for college,,"Availability of transportation,Cost of attendance,Career and Technical Education programs",,Referral from friend or family member,,Yes,,,
R_24cQUYhhmSAmVWB,EN,San Antonio,South Flores,,9th Grade,"$75,000 - $99,999",2,4,3,5,7,6,1,9,10,11,8,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Commitment to college preparation,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset",,,,Other (Please specify),The school is close to our residence ,Yes,Convenience and academics ,College prep,No
R_1CwtS2BLap77CWV,ES-ES,Austin,Rundberg,,"2nd Grade,9th Grade","$25,000 - $49,999",2,3,1,4,5,6,10,8,7,9,12,11,,Reputation for academic excellence/Track record of success,,Preparing for college,,"Safety and security,Bilingual Education Program,Social Emotional Learning Programs",,Referral from friend or family member,,Yes,,,
R_27v7MJPtJj9Gm0u,EN,Permian Basin,Yukon,,7th Grade,"$100,000 - $149,999",1,2,8,3,4,5,6,10,9,7,11,12,,"Reputation for academic excellence/Track record of success,Focus on whole child development,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,"Availability of transportation,Class sizes",,Referral from friend or family member,,No,Behavioral issues/ need a more focused school,Being able to be closer to staff/teachers. More involved rather than public school where everything is so fast paced and kids get left behind ,The transition into middle school has been hard. We are hopeful that a school like IDEA would help bring back on track and give him the motivation he’s been lacking. 
R_33ywOPgF7yXg4MK,EN,San Antonio,Mays,,10th Grade,"$150,000 - $199,999",4,2,8,7,10,9,3,11,12,6,1,5,Treated for stress and depression. Stevens was too big for her,Reputation for academic excellence/Track record of success,,Preparing for college,,,,Billboard or other outdoor advertising,,No,Drugs and teachers,Secure school and help with 504 student,
R_2rIbh2cErTJQKDe,EN,Jacksonville,Bassett,,7th Grade,"Less than $25,000",1,2,3,4,5,6,8,9,7,10,12,11,,Highly qualified and trained staff,,"Preparing for college,Developing a well-rounded skillset,Developing strong character traits",,,,Referral from friend or family member,,No,How productive y’all are with your students ,Better ways dealing with kids,
R_2dBfC3fqtH4hI6V,EN,Permian Basin,Yukon,,2nd Grade,"$100,000 - $149,999",2,5,8,4,7,6,9,10,11,3,1,12,,"Reputation for academic excellence/Track record of success,The availability of extracurricular activities,Focus on whole child development,Commitment to college preparation,Family partnership approach,The availability of individualized learning opportunities,Highly qualified and trained staff",,"Preparing for college,Developing a well-rounded skillset,Pursuing a specific career of field,Developing strong character traits",,,,Referral from friend or family member,,No,Learning opportunities ,More involvement between teachers parents and children ,
